timestamp,datetime,year,hour_utc,direction,entry_price,stop_price,exit_price,exit_reason,net_pnl_pct,win,dump_pct,dump_speed_candles,peak_vol_ratio,vol_ratio_last5,trig_body_pct,trig_lower_wick,trig_upper_wick,trig_close_pos,trig_is_bullish,trig_range_pct,bars_to_exhaustion,entry_vs_exh_pct,exh_lower_wick,exh_close_pos,next_candle_bullish,next_vol_ratio,max_favorable_pct,max_adverse_pct,mae_vs_stop,optimal_improvement
1514858280,2018-01-02 01:58,2018,1,long,844.99,836.7035714285714,836.7035714285714,stop,-1.380654039861843,False,0.01250000000000284,30,7.644717421084021,3.0103140753496618,0.23809523809523553,0.7619047619047645,0.0,1.0,True,0.005025125628140758,80.0,3.5491544278630527,0.0020080321285122224,0.0020080321285122224,True,2.29281067438919,4.0248997029550635,3.5491544278630527,3.619170761141276,361.91707611412755
1514858340,2018-01-02 01:59,2018,1,long,846.0,837.045,837.045,stop,-1.4585106382978772,False,0.7395825577643804,30,7.186601118192246,3.485152563148911,0.9960238568588505,0.0019880715705747434,0.0019880715705747434,0.9980119284294252,True,0.0059883091062775725,79.0,3.664302600472813,0.0020080321285122224,0.0020080321285122224,True,2.29281067438919,3.900709219858156,3.664302600472813,3.4617532104969126,346.1753210496913
1514858400,2018-01-02 02:00,2018,2,long,848.0,839.0889285714286,839.0889285714286,stop,-1.4508338948787032,False,0.5166325961717102,30,7.039627020316044,3.575383422728668,0.27855153203342814,0.4428969359331438,0.27855153203342814,0.7214484679665719,True,0.008539283080802014,78.0,3.891509433962264,0.0020080321285122224,0.0020080321285122224,True,2.29281067438919,3.6556603773584904,3.891509433962264,3.7032583864374273,370.32583864374277
1514859180,2018-01-02 02:13,2018,2,long,862.15,853.4617857142857,853.4617857142857,stop,-1.407738129758656,False,0.547547620789738,25,6.3201345253203485,0.8176136720826317,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.5555555555555556,True,0.010588235294117647,65.0,5.468885924723073,0.0020080321285122224,0.0020080321285122224,True,2.29281067438919,1.9544162848692248,5.468885924723073,5.426891930776522,542.6891930776522
1514859240,2018-01-02 02:14,2018,2,long,862.15,853.3310714285714,853.3310714285714,stop,-1.422899561726917,False,1.003884437970379,26,6.172703943929659,1.1878488343151359,1.0,0.0,0.0,1.0,True,0.008362573099415177,64.0,5.468885924723073,0.0020080321285122224,0.0020080321285122224,True,2.29281067438919,1.9544162848692248,5.468885924723073,5.34645446077833,534.645446077833
1514859300,2018-01-02 02:15,2018,2,long,864.0,854.9828571428571,854.9828571428571,stop,-1.4436507936507936,False,1.0279126213592267,27,6.115017001070044,1.1764703001915333,0.0,0.0,1.0,0.0,False,0.003734848924201157,63.0,5.671296296296297,0.0020080321285122224,0.0020080321285122224,True,2.29281067438919,1.7361111111111112,5.671296296296297,5.434093789607098,543.4093789607097
1514859360,2018-01-02 02:16,2018,2,long,868.0,859.0139285714286,859.0139285714286,stop,-1.4352616853192914,False,0.8582647491459973,28,5.977957495858533,1.3413628759051428,0.5,0.0,0.5,0.0,False,0.004629629629629629,62.0,6.105990783410138,0.0020080321285122224,0.0020080321285122224,True,2.29281067438919,1.2672811059907834,6.105990783410138,5.898016771988381,589.8016771988381
1514859420,2018-01-02 02:17,2018,2,long,867.71,859.0592857142857,859.0592857142857,stop,-1.3969591552148002,False,0.4577189727565667,29,5.862437703343696,1.3552859424626915,0.964102564102558,0.03589743589744197,0.0,1.0,True,0.006785362175955487,61.0,6.074610180820785,0.0020080321285122224,0.0020080321285122224,True,2.29281067438919,1.3011259522190552,6.074610180820785,6.09313846916023,609.3138469160232
1514859480,2018-01-02 02:18,2018,2,long,867.72,859.5267857142858,859.5267857142858,stop,-1.3442232846672022,False,0.0,30,5.779784753993741,1.4302200019182147,0.7192755498059568,0.0,0.2807244501940432,0.7192755498059568,True,0.008965957200023219,60.0,6.0756926197390895,0.0020080321285122224,0.0020080321285122224,True,2.29281067438919,1.299958511962381,6.0756926197390895,6.43459308661352,643.459308661352
1514859540,2018-01-02 02:19,2018,2,long,869.88,861.9107142857142,861.9107142857142,stop,-1.3161362158327325,False,0.09271006148140809,30,5.724330688338655,1.152608167417611,0.11046511627909975,0.8895348837209003,0.0,1.0,True,0.001986143187067006,59.0,6.308916172345611,0.0020080321285122224,0.0020080321285122224,True,2.29281067438919,1.0484204717892127,6.308916172345611,6.886439006901444,688.6439006901444
1514859600,2018-01-02 02:20,2018,2,long,869.88,862.0285714285715,862.0285714285715,stop,-1.3025875490215348,False,1.1900312277698073,30,5.474694420412333,1.541762355626425,0.5567010309278275,0.4432989690721725,0.0,1.0,True,0.004480369515011542,58.0,6.308916172345611,0.0020080321285122224,0.0020080321285122224,True,2.29281067438919,1.0484204717892127,6.308916172345611,6.989810771470199,698.9810771470198
1514859660,2018-01-02 02:21,2018,2,long,872.97,865.2225,865.2225,stop,-1.2874875425272414,False,0.014612583870143392,29,5.436340245072638,1.3270000688352814,0.9894736842105357,0.0,0.010526315789464237,0.9894736842105357,True,0.0021889400921658725,57.0,6.640548930661996,0.0020080321285122224,0.0020080321285122224,True,2.29281067438919,0.6907453864393934,6.640548930661996,7.482413681832796,748.2413681832795
