timestamp,datetime,year,hour_utc,direction,entry_price,exit_price,stop_price,target_price,exit_reason,net_pnl_pct,win,dump_pct,bars_to_exh,exh_body_pct,exh_lower_wick,exh_upper_wick,exh_close_pos,exh_vol_ratio,exh_range_pct,next_bullish,next_vol_ratio,next_gap_pct,mae_pct,mfe_pct,mae_vs_stop
1515643140,2018-01-11 03:59,2018,3,short,1185.4,1217.68,1217.68,1120.8400000000001,stop,-3.1231314324278703,False,4.083009954445764,0,0.21112006446413165,0.2723609991942052,0.5165189363416631,0.2723609991942052,2.6285935444469226,0.01049897632865779,True,0.23728914830105585,0.0,34.54445756706597,6.276362409313318,12.68556381660472
1515843000,2018-01-13 11:30,2018,11,short,1332.8,1404.5378571428573,1404.5378571428573,1189.3242857142852,stop,-5.782492282627354,False,4.044093178036597,17,0.480480480480477,0.0,0.519519519519523,0.480480480480477,0.5350812218568711,0.02018181818181826,True,0.3904608685481417,-0.3976590636254468,19.664615846338545,2.08583433373349,3.653440602192497
1516096800,2018-01-16 10:00,2018,10,short,1028.0,1063.1632142857145,1063.1632142857145,957.673571428571,stop,-3.8205461367426556,False,4.668287937743192,0,0.7270341207348993,0.0,0.2729658792651007,0.0,0.48593939976795486,0.011118677042801619,True,1.2630910773870263,0.3239299610894871,16.536964980544745,0.16926070038910593,4.834597844744375
1516096860,2018-01-16 10:01,2018,10,short,1035.98,1073.3910714285714,1073.3910714285714,961.1578571428572,stop,-4.01117699459173,False,5.402613950076258,0,0.27877697841727056,0.0,0.7212230215827294,0.27877697841727056,0.6108578481573113,0.016173290799259273,True,0.8460673794897539,0.0,15.639298055947023,0.9382420510048484,4.330803524548694
1517894400,2018-02-06 05:20,2018,5,short,600.0,626.1032142857143,626.1032142857143,547.7935714285713,stop,-4.750535714285721,False,5.881458196014816,1,0.1785079928952036,0.26731793960923567,0.5541740674955608,0.44582593250443925,1.2053335034783923,0.01892500588255066,False,0.5518227981712893,0.1533333333333265,16.488333333333323,7.333333333333333,3.789954712747464
1517894460,2018-02-06 05:21,2018,5,long,600.0,574.0732142857144,574.0732142857144,651.8535714285713,stop,-4.721130952380941,False,4.587739524528906,0,0.1785079928952036,0.26731793960923567,0.5541740674955608,0.44582593250443925,1.2053335034783923,0.01892500588255066,False,0.5518227981712893,0.1533333333333265,7.333333333333333,16.488333333333323,1.6970865762104874
1517894520,2018-02-06 05:22,2018,5,long,596.76,570.9617857142857,570.9617857142857,648.3564285714285,stop,-4.7230468338551965,False,5.3876123081816,1,0.2960526315789379,0.5000000000000093,0.20394736842105277,0.7960526315789472,1.2908861263554938,0.010271658332207124,False,0.6444993491958101,0.0,6.830216502446543,17.120785575440706,1.579954315774902
1517894580,2018-02-06 05:23,2018,5,long,596.76,570.8460714285713,570.8460714285713,648.5878571428573,stop,-4.74243725642279,False,5.102965731096451,0,0.2960526315789379,0.5000000000000093,0.20394736842105277,0.7960526315789472,1.2908861263554938,0.010271658332207124,False,0.6444993491958101,0.0,6.830216502446543,17.120785575440706,1.5728992957455266
1517894640,2018-02-06 05:24,2018,5,short,591.8,620.8617857142857,620.8617857142857,533.6764285714285,stop,-5.310744460000971,False,5.42431601650732,3,0.5183189655172493,0.21012931034482085,0.2715517241379299,0.21012931034482085,0.8564624645930072,0.015732813427142448,True,1.0979886540298238,-0.2179790469753234,18.102399459276782,6.049340993578904,3.6862841483047153
1517894700,2018-02-06 05:25,2018,5,long,596.29,568.2135714285714,568.2135714285714,652.4428571428571,stop,-5.1085191050375744,False,5.177705335135574,0,0.36680053547523417,0.406961178045509,0.2262382864792568,0.7737617135207432,0.7388698669299945,0.012650082132394078,True,1.1861633098650393,-0.0016770363413759924,6.756779419410012,17.21310100789884,1.4350115755463402
1517894760,2018-02-06 05:26,2018,5,long,595.21,567.8475000000001,567.8475000000001,649.935,stop,-4.997116983921633,False,4.931223662240596,4,0.412855377008655,0.35599505562422545,0.23114956736711956,0.7688504326328804,0.6822125188182573,0.013735377510653885,True,0.8292469542918293,-0.035281665294608015,6.587590934292105,17.425782496933838,1.432983097304709
1517894820,2018-02-06 05:27,2018,5,short,591.8,617.8617857142857,617.8617857142857,539.6764285714285,stop,-4.803816443779276,False,5.89895234876647,0,0.5183189655172493,0.21012931034482085,0.2715517241379299,0.21012931034482085,0.8564624645930072,0.015732813427142448,True,1.0979886540298238,-0.2179790469753234,18.102399459276782,6.049340993578904,4.110616255327307
1517894940,2018-02-06 05:29,2018,5,short,604.23,624.6928571428572,624.6928571428572,563.3042857142857,stop,-3.786600655852433,False,5.801857270928139,7,0.23251748251748858,0.10839160839160868,0.6590909090909027,0.3409090909090972,0.775077063885704,0.009497243806867284,True,1.8182383407926719,0.013239991393993551,15.67283981265411,7.982059811661125,4.627897235409097
1517895780,2018-02-06 05:43,2018,5,long,618.01,594.8046428571428,594.8046428571428,664.4207142857144,stop,-4.154851400925103,False,4.032558139534882,3,0.3473792394655693,0.6526207605344307,0.0,1.0,0.6180651296554435,0.01599592293022953,False,1.7902098372203532,-0.2087344864969764,10.033818223006099,13.97388391773596,2.6722277799153424
1517895840,2018-02-06 05:44,2018,5,long,618.01,594.9749999999999,594.9749999999999,664.0800000000002,stop,-4.1272859662465144,False,4.085271317829461,2,0.3473792394655693,0.6526207605344307,0.0,1.0,0.6180651296554435,0.01599592293022953,False,1.7902098372203532,-0.2087344864969764,10.033818223006099,13.97388391773596,2.691990449316248
1517895960,2018-02-06 05:46,2018,5,long,618.01,594.8314285714285,594.8314285714285,664.3671428571429,stop,-4.150517213082547,False,4.184496124031009,0,0.3473792394655693,0.6526207605344307,0.0,1.0,0.6180651296554435,0.01599592293022953,False,1.7902098372203532,-0.2087344864969764,10.033818223006099,13.97388391773596,2.6753158705701057
1525135200,2018-05-01 00:40,2018,0,long,641.27,626.8207142857142,626.8207142857142,670.1685714285716,stop,-2.6532296402897053,False,4.069148537415473,1,0.025581395348839978,0.8372093023255734,0.13720930232558662,0.8372093023255734,4.782701264063957,0.0067432998259288794,False,1.6628994352971118,0.020272272209832902,2.2720538930559573,4.689132502689983,1.0083543427752137
1525135620,2018-05-01 00:47,2018,0,long,642.78,628.6607142857143,628.6607142857143,671.0185714285712,stop,-2.5965969249643175,False,4.0889957907396335,2,0.03020134228185154,0.493288590604033,0.4765100671141155,0.5234899328858845,0.9011499318258176,0.00464739091107579,False,1.1071128386864868,-0.36715516973148105,2.5016335293568446,5.275521951523085,1.1388678099863419
1525136340,2018-05-01 00:59,2018,0,long,638.77,631.8835714285715,631.8835714285715,652.542857142857,stop,-1.4780763923522546,False,4.094206197456678,3,0.5126050420168191,0.4831932773109157,0.0042016806722650945,0.4831932773109157,1.531456164978849,0.003732630720491822,False,0.2918780361226259,-0.35850149506081436,1.8895690154515612,5.936409036116298,1.7527227466030595
1543143780,2018-11-25 11:03,2018,11,long,111.36,107.04,107.04,119.99999999999999,stop,-4.27931034482758,False,4.207796553454911,4,0.3181818181818211,0.6818181818181789,0.0,1.0,1.3945854137306866,0.01199563794983636,False,0.1536152429477936,0.2514367816091964,7.112068965517243,0.987787356321834,1.8333333333333366
1543143840,2018-11-25 11:04,2018,11,long,111.36,106.61357142857143,106.61357142857143,120.85285714285713,stop,-4.662238300492606,False,5.755395683453245,3,0.3181818181818211,0.6818181818181789,0.0,1.0,1.3945854137306866,0.01199563794983636,False,0.1536152429477936,0.2514367816091964,7.112068965517243,0.987787356321834,1.6686230248307017
1543143900,2018-11-25 11:05,2018,11,long,111.36,106.55678571428572,106.55678571428572,120.96642857142855,stop,-4.7132312192118135,False,5.763761084155932,2,0.3181818181818211,0.6818181818181789,0.0,1.0,1.3945854137306866,0.01199563794983636,False,0.1536152429477936,0.2514367816091964,7.112068965517243,0.987787356321834,1.6488958286861513
1543143960,2018-11-25 11:06,2018,11,long,111.36,106.31678571428571,106.31678571428571,121.44642857142857,stop,-4.928748460591133,False,7.361552618370429,1,0.3181818181818211,0.6818181818181789,0.0,1.0,1.3945854137306866,0.01199563794983636,False,0.1536152429477936,0.2514367816091964,7.112068965517243,0.987787356321834,1.5704270235818998
1543144020,2018-11-25 11:07,2018,11,long,111.36,106.185,106.185,121.71,stop,-5.047090517241378,False,6.842897774803418,0,0.3181818181818211,0.6818181818181789,0.0,1.0,1.3945854137306866,0.01199563794983636,False,0.1536152429477936,0.2514367816091964,7.112068965517243,0.987787356321834,1.5304347826086966
1543144080,2018-11-25 11:08,2018,11,long,108.79,104.08999999999999,104.08999999999999,118.19000000000004,stop,-4.720250022980069,False,7.08549439518154,7,0.42483660130718365,0.5032679738562155,0.07189542483660089,0.5032679738562155,1.5635083433415349,0.014164043695611936,True,1.8697945724211738,-0.12868829855685318,4.917731409136876,2.8862946962036955,1.138297872340423
1543144140,2018-11-25 11:09,2018,11,long,108.79,104.15535714285713,104.15535714285713,118.05928571428576,stop,-4.660173597888481,False,7.14405220010039,6,0.42483660130718365,0.5032679738562155,0.07189542483660089,0.5032679738562155,1.5635083433415349,0.014164043695611936,True,1.8697945724211738,-0.12868829855685318,4.917731409136876,2.8862946962036955,1.154350003852967
1543144200,2018-11-25 11:10,2018,11,long,108.79,104.34821428571428,104.34821428571428,117.67357142857146,stop,-4.482898900896892,False,6.466454743182201,5,0.42483660130718365,0.5032679738562155,0.07189542483660089,0.5032679738562155,1.5635083433415349,0.014164043695611936,True,1.8697945724211738,-0.12868829855685318,4.917731409136876,2.8862946962036955,1.2044705314786504
1543144260,2018-11-25 11:11,2018,11,long,108.79,104.37392857142856,104.37392857142856,117.62214285714289,stop,-4.459262274631347,False,6.943282583235747,4,0.42483660130718365,0.5032679738562155,0.07189542483660089,0.5032679738562155,1.5635083433415349,0.014164043695611936,True,1.8697945724211738,-0.12868829855685318,4.917731409136876,2.8862946962036955,1.2114840274969654
1543144320,2018-11-25 11:12,2018,11,long,108.79,104.35249999999999,104.35249999999999,117.66500000000003,stop,-4.4789594631859675,False,7.361552618370429,3,0.42483660130718365,0.5032679738562155,0.07189542483660089,0.5032679738562155,1.5635083433415349,0.014164043695611936,True,1.8697945724211738,-0.12868829855685318,4.917731409136876,2.8862946962036955,1.2056338028168994
1543144380,2018-11-25 11:13,2018,11,long,108.79,104.36857142857141,104.36857142857141,117.63285714285719,stop,-4.464186571770008,False,7.830015057721264,2,0.42483660130718365,0.5032679738562155,0.07189542483660089,0.5032679738562155,1.5635083433415349,0.014164043695611936,True,1.8697945724211738,-0.12868829855685318,4.917731409136876,2.8862946962036955,1.2100161550888493
1543144440,2018-11-25 11:14,2018,11,short,109.44,111.24,114.06357142857144,100.19285714285712,timeout,-2.0447368421052605,False,8.442982456140346,0,0.681415929203539,0.06194690265486147,0.2566371681415995,0.06194690265486147,0.7453687771917611,0.010331900886897645,False,2.1045307353040905,0.0,2.2752192982456223,5.482456140350878,0.5385447242391481
1543144500,2018-11-25 11:15,2018,11,short,110.54,112.1,114.62428571428572,102.37142857142858,timeout,-1.811253844762066,False,7.895946318595462,7,0.11904761904761381,0.0,0.8809523809523861,0.0,1.6753145801831402,0.007599059164103394,False,0.6871861135064941,0.0,1.6826488149086296,6.423014293468435,0.45540398740818466
1543144620,2018-11-25 11:17,2018,11,long,109.91,107.2832142857143,107.2832142857143,115.1635714285714,stop,-2.7899424204218928,False,7.704534047180866,1,0.183673469387764,0.7755102040816315,0.04081632653060455,0.7755102040816315,0.651843666471522,0.004473660184424312,False,0.178180540789724,0.0,5.886634519152032,1.8378673460103814,2.4630863358259796
